67 	 Un uomo con un cappello da cowboy sta guidando un carro disegnato a cavallo.
99 	 Un gruppo di persone sedute intorno a un tavolo.
100 	 Un gruppo di persone si riunisce in un parco di divertimento.
109 	 Un uomo e una donna stanno camminando sulla spiaggia.
118 	 Un uomo con un cappello da pesca è seduto su una barca in acqua.
161 	 Un uomo con una maglietta rossa e dei pantaloni rossi sta facendo un trucco su una tavola da surf.
170 	 Un cane marrone che corre sulla sabbia.
200 	 Un giocatore di baseball che indossa una maglietta bianca e una mazza da baseball.
203 	 Un gruppo di persone sedute a un tavolo a mangiare.
257 	 Un uomo sta guidando una bicicletta.
280 	 Un uomo che fa arrampicarsi su una scogliera.
282 	 Un gruppo di persone che si arrampicano su una collina ricoperta di neve.
293 	 Un uomo con una camicia rossa e un cappello da baseball è seduto su una panchina di legno.
301 	 Un gruppo di persone si riunisce intorno a un tavolo.
322 	 Un uomo suona la chitarra e canta.
370 	 Un gruppo di persone che camminano lungo un sentiero in un campo.
377 	 Un uomo con un cappello da cowboy e un cappello da cowboy è seduto su una sedia a rotelle.
382 	 Un gruppo di persone si riunisce in un parco di divertimento.
387 	 Un gruppo di persone sedute a un tavolo a mangiare.
390 	 Un uomo e una donna in posa per una foto.
419 	 Un gruppo di persone si riunisce intorno a un tavolo.
422 	 Un gruppo di persone si trova di fronte ad un edificio di mattoni.
462 	 Una donna con un vestito bianco e una gonna bianca è in piedi accanto ad un edificio.
478 	 Una donna con una maglietta blu e un cappello da baseball sta mangiando un panino.
511 	 Un uomo in camicia bianca e pantaloni neri si trova di fronte ad un edificio.
608 	 Due cani marroni corrono sull'erba.
610 	 Un bambino che indossa una maglietta blu e una maglietta blu a strisce e un bambino che indossa una
628 	 Un uomo e una donna stanno camminando lungo un sentiero di pietra.
630 	 Un uomo che pesca da una barca in acqua.
669 	 Un uomo con un gilet arancione sta scavando un buco nella terra.
681 	 Due uomini che giocano a calcio.
694 	 Un uomo con una camicia nera e jeans blu è seduto su una panchina del parco.
762 	 Un ragazzo con una maglietta bianca e jeans blu sta facendo un giro di schiena.
816 	 Un uomo con un gilet arancione e un cappello rigido sta lavorando su un tetto.
843 	 Un uomo e una donna che camminano per strada.
900 	 Un gruppo di persone si riunisce intorno a un tavolo.
949 	 Un gruppo di persone si trova di fronte ad un edificio di mattoni.
1052 	 Un gruppo di persone si riunisce intorno a un treno.
1074 	 Due cani marroni corrono sull'erba.
1081 	 Un uomo con gli occhiali da sole e un cappello da baseball si trova vicino ad un corpo d'acqua.
1089 	 Un ragazzo con una maglietta blu e jeans blu è seduto su una panchina.
1102 	 Un uomo in camicia bianca e pantaloni neri sta giocando a bowling.
1103 	 Un gruppo di persone si riunisce intorno a un tavolo.
1107 	 Un cane marrone che salta in aria per prendere una palla rossa.
1144 	 Una macchina da corsa bianca sta correndo su una pista.
1145 	 Un gruppo di persone si esibisce sul palco.
1155 	 Un gruppo di persone che nuotano in acqua.
1162 	 Una donna con una maglietta bianca e un apron bianco sta cucinando.
1168 	 Un gruppo di persone si riunisce in un parco di divertimento.
1182 	 Un cane bianco e nero che salta in acqua.
1209 	 Un cane bianco e nero salta in aria per prendere una palla rossa.
1212 	 Un uomo che pesca in un fiume.
1271 	 Un uomo e una donna che camminano per strada.
1286 	 Un uomo e una donna sono seduti su un autobus.
1293 	 Un gruppo di persone sta camminando sulla spiaggia.
1351 	 Una donna con i capelli marroni che indossa una camicia bianca e un apron bianco sta cucinando in cucina.
1365 	 Un uomo e una donna sono seduti a un tavolo a mangiare.
1371 	 Un uomo e una donna in posa per una foto.
1378 	 Un surfista fa surf su un'onda nell'oceano.
1382 	 Un uomo e una donna seduti su una panchina.
1478 	 Un uomo e una donna sono seduti su una sedia a rotelle.
1513 	 Un gruppo di persone in piedi su un molo che guarda l'acqua.
1516 	 Un uomo senza camicia sta scalando un albero.
1520 	 Un uomo con un cappello rigido sta lavorando su un pezzo di legno.
1523 	 Un uomo con un cappello da cowboy e un cappello da cowboy si trova di fronte a un negozio
1532 	 Un cane bianco e marrone salta in aria per prendere una palla da tennis.
1616 	 Un uomo con un cappello da cowboy e un cappello da cowboy è seduto su una panchina.
1636 	 Un bambino è seduto su una macchina.
1716 	 Un uomo con una camicia nera e un cappello da baseball si trova di fronte ad un edificio con
1727 	 Due bambini piccoli che giocano con i giocattoli.
1740 	 Un gruppo di persone si riunisce in una strada affollata.
1746 	 Un uomo che si arrampica su una scogliera rocciosa.
1754 	 Un uomo e una donna sono in piedi su un molo vicino all'acqua.
1782 	 Un uomo che fa un trucco su uno skateboard.
1892 	 Un gruppo di persone si riunisce in un parco di divertimento.
1902 	 Un gruppo di bambini che giocano a calcio.
1933 	 Un uomo e una donna saltano in aria su una spiaggia.
1943 	 Un gruppo di persone si riunisce intorno a un tavolo.
1995 	 Un uomo con un cappello bianco e una camicia nera sta guidando una moto rossa.
2006 	 Un uomo e una donna sono seduti su un molo vicino all'acqua.
2089 	 Un gruppo di giocatori di calcio che giocano a calcio su un campo da football.
